Code,Building,Address
A&A,Art & Architecture,180 York Street New Haven CT
AACC,African American Cultural Ctr,211 Park Street New Haven CT
AKW,Arthur K. Watson Hall,51 Prospect Street New Haven CT
AMISB,Amistad Street Bldg,10 Amistad Street New Haven CT
BAC,British Art Center,1080 Chapel Street New Haven CT
BASS,Bass Center,266 Whitney Avenue New Haven CT
BASSLB,Bass Library,120 High Street New Haven CT
BCMM,Boyer Ctr Molecular Medicine,295 Congress Ave New Haven CT
BCT,Becton Center,15 Prospect Street New Haven CT
BERKLY,Berkeley Center (Div),363 St Ronan Street New Haven CT
BK,Berkeley College,205 Elm Street New Haven CT
BM,Bingham Hall,300 College Street New Haven CT
BML,Brady Memorial Laboratory,310 Cedar Street New Haven CT
BOWERS,Bowers Hall,205 Prospect Street New Haven CT
BR,Branford College,74 High Street New Haven CT
BRADY,Brady Memorial Laboratory,310 Cedar Street New Haven CT
BRBL,Beinecke Rare Book Library,Wall and High Streets New Haven CT
BRW35,35 Broadway,35 Broadway New Haven CT
C,Connecticut Hall,344 College Street New Haven CT
CALHIL,Calvin Hill Day Care Center,150 Highland New Haven CT
CAW,Creative Arts Workshop,80 Audubon Street New Haven CT
CC,Calhoun College,189 Elm Street New Haven CT
CCL,Cross Campus Library,120 High Street New Haven CT
CED330,330 Cedar Street,330 Cedar Street New Haven CT
CH100,100 Church Street South,100 Church Street South New Haven CT
CHINA,Peking University,Peking University New Haven CT
CO135,435 College Street,435 College Street New Haven CT
CO451,451 College Street,451 College Street New Haven CT
CO493,493 College Street,493 College Street New Haven CT
CR305,305 Crown Street,305 Crown Street New Haven CT
CRB,Chemistry Research Building,275 Prospect Street New Haven CT
CSC,Child Study Center,230 S Frontage Rd New Haven CT
DAVIES,Davies Auditorium,Becton Ctr,15 Prospect Street New Haven CT
DC,Davenport College,248 York Street New Haven CT
DL,Dunham Laboratory,10 Hillhouse Avenue New Haven CT
DMCA,Digital Media Center Arts,149 York Street New Haven CT
EDG32,32 Edgewood Avenue,32 Edgewood Avenue New Haven CT
EDW340,340 Edwards Street,340 Edwards Street New Haven CT
EDW380,380 Edwards Street,380 Edwards Street New Haven CT
ELM143,143 Elm Street,143 Elm Street New Haven CT
ELM149,149 Elm Street,149 Elm Street New Haven CT
ES,Ezra Stiles College,19 Tower Pkwy New Haven CT
ESC,Environmental Sciences Center,21 Sachem Street New Haven CT
ESH,Edward S Harkness Hall,367 Cedar Street New Haven CT
FENCE,Fence Club,220 York Street New Haven CT
GEO300,300 George Street,300 George Street New Haven CT
GML,Greeley Memorial Laboratory,370 Prospect Street New Haven CT
GR109,109 Grove Street,109 Grove Street New Haven CT
GREEN,Green Hall (1156 Chapel),1156 Chapel Street New Haven CT
HEN,Hendrie Hall,165 Elm Street New Haven CT
HGS,Hall of Graduate Studies,320 York Street New Haven CT
HH,Hammond Hall,14 Mansfield Street New Haven CT
HLH15,15 Hillhouse Avenue,15 Hillhouse Avenue New Haven CT
HLH24,24 Hillhouse Avenue,24 Hillhouse Avenue New Haven CT
HLH27,27 Hillhouse Avenue,27 Hillhouse Avenue New Haven CT
HLH28,28 Hillhouse Avenue,28 Hillhouse Avenue New Haven CT
HLH31,31 Hillhouse Avenue,31 Hillhouse Avenue New Haven CT
HLH51,51 Hillhouse Avenue,51 Hillhouse Avenue New Haven CT
HLH55,55 Hillhouse,55 Hillhouse Avenue New Haven CT
HOPE,Hope,315 Cedar Street New Haven CT
ISM,Institute of Sacred Music,409 Prospect Street New Haven CT
JE,Jonathan Edwards College,68 High Street New Haven CT
JPL,John B Pierce Laboratory,290 Congress Avenue New Haven CT
JWG,J.W. Gibbs Laboratory,260 Whitney Avenue New Haven CT
K,Kirtland Hall,2 Hillhouse Avenue New Haven CT
KBT,Kline Biology Tower,219 Prospect Street New Haven CT
KGL,Kline Geology Laboratory,210 Whitney Avenue New Haven CT
KRN,Kroon Hall,195 Prospect Street New Haven CT
L,Lawrance Hall,358 College Street New Haven CT
LC,Linsly Chittenden Hall,63 High Street New Haven CT
LEIGH,Leigh Hall,435 College Street New Haven CT
LEPH,Laboratory of EPH,60 College Street New Haven CT
LOM,Leet Oliver Memorial Hall,12 Hillhouse Avenue New Haven CT
LORIA,The Loria Center,190 York Street New Haven CT
LUCE,Luce Hall,34 Hillhouse Avenue New Haven CT
MARSH,Marsh Hall,360 Prospect Street New Haven CT
MC,Morse College,302 York Street New Haven CT
MEC,Malone Engineering Center,55 Prospect Street New Haven CT
ML,Mason Laboratory,9 Hillhouse Avenue New Haven CT
OAG,Old Art Gallery,56 High Street New Haven CT
OML,Osborn Memorial Laboratories,165 Prospect Street New Haven CT
PACE,PACE Center,340 Edwards Street New Haven CT
PC,Pierson College,261 Park Street New Haven CT
PH,Phelps Hall,344 College Street New Haven CT
PK205,205 Park Street,205 Park Street New Haven CT
PK217,217 Park Street,217 Park Street New Haven CT
PM,Peabody Museum,170 Whitney Avenue New Haven CT
PR124,124 Prospect Street,124 Prospect Street New Haven CT
PR135,135 Prospect Street,135 Prospect Street New Haven CT
PR140,140 Prospect Street,140 Prospect Street New Haven CT
PR230,230 Prospect Street,230 Prospect Street New Haven CT
PR301,301 Prospect Street,301 Prospect Street New Haven CT
PR310,310 Prospect Street,310 Prospect Street New Haven CT
PR77,77 Prospect Street,77 Prospect Street New Haven CT
PRP8,8 Prospect Place,8 Prospect Place New Haven CT
PWG,Payne Whitney Gymnasium,70 Tower Pkwy New Haven CT
RDH,Rudolph Hall,180 York Street New Haven CT
RKZ,Rosenkranz Hall,115 Prospect Street New Haven CT
S,Sage Hall,205 Prospect Street New Haven CT
SA10,10 Sachem Street,10 Sachem Street New Haven CT
SA80,80 Sachem Street,80 Sachem Street New Haven CT
SCL,Sterling Chemistry Laboratory,225 Prospect Street New Haven CT
SDQ,Sterling Divinity Quadrangle,409 Prospect Street New Haven CT
SHM,Sterling Hall of Medicine,333 Cedar Street New Haven CT
SLB,Sterling Law Buildings,127 Wall Street New Haven CT
SLIFKA,Slifka Center,80 Wall Street New Haven CT
SM,Sprague Memorial Hall,Sprague Memorial Hall New Haven CT
SML,Sterling Memorial Library,120 High Street New Haven CT
SPL,Sloane Physics Laboratory,217 Prospect Street New Haven CT
SSS,Sheffield Sterling Strathcona,1 Prospect Street New Haven CT
ST,Street Hall,1071 Chapel Street New Haven CT
STOECK,Stoeckel Hall,96 Wall Street New Haven CT
SW,Swing Dorm,100 Tower Parkway New Haven CT
SY,Saybrook College,242 Elm Street New Haven CT
TAC,The Anlyan Center,300 Cedar Street New Haven CT
TC,Trumbull College,241 Elm Street New Haven CT
TD,Timothy Dwight College,345 Temple Street New Haven CT
TM320,320 Temple Street,320 Temple Street New Haven CT
TM370,370 Temple Street,370 Temple Street New Haven CT
TM405,405 Temple Street,405 Temple Street New Haven CT
TM432,432 Temple Street,432 Temple Street New Haven CT
